Month,William Shakespeare: (Worldwide)
Jan-08,67
Feb-08,73
Mar-08,73
Apr-08,80
May-08,77
Jun-08,61
Jul-08,62
Aug-08,55
Sep-08,64
Oct-08,64
Nov-08,71
Dec-08,58
Jan-09,63
Feb-09,70
Mar-09,68
Apr-09,65
May-09,66
Jun-09,58
Jul-09,49
Aug-09,50
Sep-09,53
Oct-09,55
Nov-09,59
Dec-09,52
Jan-10,64
Feb-10,62
Mar-10,64
Apr-10,65
May-10,60
Jun-10,48
Jul-10,43
Aug-10,43
Sep-10,51
Oct-10,66
Nov-10,63
Dec-10,52
Jan-11,54
Feb-11,59
Mar-11,61
Apr-11,63
May-11,63
Jun-11,55
Jul-11,50
Aug-11,100
Sep-11,87
Oct-11,92
Nov-11,87
Dec-11,74
Jan-12,73
Feb-12,81
Mar-12,89
Apr-12,84
May-12,88
Jun-12,78
Jul-12,69
Aug-12,64
Sep-12,68
Oct-12,76
Nov-12,90
Dec-12,73
Jan-13,70
Feb-13,74
Mar-13,73
Apr-13,78
May-13,70
Jun-13,61
Jul-13,54
Aug-13,50
Sep-13,59
Oct-13,61
Nov-13,65
Dec-13,55
Jan-14,61
Feb-14,58
Mar-14,63
Apr-14,68
May-14,57
Jun-14,56
Jul-14,49
Aug-14,46
Sep-14,54
Oct-14,61
Nov-14,61
Dec-14,51
Jan-15,55
Feb-15,60
Mar-15,57
Apr-15,59
May-15,52
Jun-15,47
Jul-15,41
Aug-15,39
Sep-15,48
Oct-15,50
Nov-15,53
Dec-15,43
Jan-16,55
Feb-16,57
Mar-16,58
Apr-16,87
May-16,76
Jun-16,55
Jul-16,46
Aug-16,43
Sep-16,51
Oct-16,55
Nov-16,60
Dec-16,51
Jan-17,0
Feb-17,<1
Mar-17,0
Apr-17,0
May-17,<1
Jun-17,0
Jul-17,0
Aug-17,29
Sep-17,33
Oct-17,35
Nov-17,36
Dec-17,31
Jan-18,32
Feb-18,36
Mar-18,35
Apr-18,39
May-18,33
Jun-18,30
Jul-18,25
Aug-18,26
Sep-18,30
Oct-18,30
Nov-18,31
Dec-18,27
Jan-19,31
Feb-19,33
Mar-19,32
Apr-19,30
May-19,30
Jun-19,27
Jul-19,27
Aug-19,25
Sep-19,29
Oct-19,29
Nov-19,31
Dec-19,26
Jan-20,28
Feb-20,29
Mar-20,26
Apr-20,30
May-20,24
Jun-20,22
Jul-20,19
Aug-20,21
Sep-20,23
Oct-20,22
Nov-20,24
Dec-20,23
Jan-21,26
Feb-21,25
Mar-21,27
Apr-21,26
May-21,26
Jun-21,23
Jul-21,23
Aug-21,21
Sep-21,23
Oct-21,23
Nov-21,26
Dec-21,28
Jan-22,29
Feb-22,29
Mar-22,32
Apr-22,35
May-22,37
Jun-22,34
Jul-22,30
Aug-22,28
Sep-22,37
Oct-22,30
Nov-22,36
Dec-22,28
Jan-23,29
Feb-23,32
Mar-23,33
Apr-23,33
May-23,37
Jun-23,29
Jul-23,25
Aug-23,26
Sep-23,28
Oct-23,30
Nov-23,34
Dec-23,31
Jan-24,31
Feb-24,31
